Product Name,Sub - Category ,Heyzack Refeance Number,Specs-final,Features,Automations ,Connected Scenes,Product Description,Page Slug,Short Keywords ,Long Keywords,,,,,,,,,,,,,,,
ZIGBEE Gateway（wired RJ45 port),Smart Gateway,HZ-SG-WIRWIF01,"Status indicator: 1 LED (Wi-Fi+Zigbee) | Operation button: 1 button (reset) | Power supply: AC100-240V | Working current: <1A | Working temperature: -10℃-55℃ | Working humidity: 10%-90% RH (non-condensing) | Storage temperature: -20℃-60℃ | Storage humidity: 5%-90% RH (non-condensing) | Wireless technology: Wi-Fi 802.11 b/g/n (Zigbee 802.15.4), support Bluetooth | Zigbee Parameters Wireless frequency: 2.400-2.480GHz | Transmit power: nominal 10dBm | Number of channels: CH1-CH26 | Channel transmission rate: 250Kbps | Other parameters Wireless encryption: AES 128bit encryption, WPA-PSK/WPA2-PSK, WPA/WPA2 security mechanism | Network management: Remote App configuration | Maximum number of connections: Max Node=50","<h1>Unbreakable Connection</h1>
<p>The wired RJ45 port ensures a stable and reliable connection, so you never have to worry about dropped signals or lag in your smart home system.</p>

<h1>Universal Power Compatibility</h1>
<p>Works seamlessly with any standard power outlet (AC100-240V), making it easy to install and use anywhere in your home.</p>

<h1>Extreme Weather Resilience</h1>
<p>Built to withstand temperatures from -10°C to 55°C and humidity levels from 10% to 90%, so your smart home stays running smoothly in any climate.</p>

<h1>Effortless Device Management</h1>
<p>Supports up to 50 Zigbee devices, giving you the freedom to expand your smart home without worrying about overcrowding your network.</p>

<h1>Secure and Private Network</h1>
<p>AES 128-bit encryption and WPA/WPA2 security keep your smart home network protected from unauthorized access, ensuring your data stays safe.</p>

<h1>One-Touch Setup &amp; Control</h1>
<p>The reset button and LED indicator make it simple to set up and troubleshoot, so you can focus on enjoying your smart home instead of configuring it. [/s]</p>","

## Automations
• Zigbee door sensor offline triggers LED indicator flash and smartphone push notification via gateway remote app
• When 5+ Zigbee devices disconnect simultaneously, gateway activates network diagnostics and sends status report to app
• Temperature sensor exceeds 50°C triggers emergency mode: gateway logs data, notifies app, and disconnects high-risk devices","

## Connected Scenes
• Bridges video doorbell battery camera to router for stable live view and instant phone alerts
• Links outdoor dual-lens camera to smart lights for automatic floodlight when motion triggers recording
• Coordinates indoor USB-C camera with smart locks to snap images whenever door codes are entered","Your smart home finally speaks one language. Connect everything through one reliable hub.

• Wirelessly links Zigbee lights, locks, sensors, and switches across every room.
• RJ45 ethernet keeps commands instant and connection rock-solid.
• Manages up to 128 devices without slowing your Wi-Fi.
• Automates scenes and schedules that respond before you ask.

Pair with smart speakers, displays, or mobile devices to control your entire home with a word or tap.

One gateway. Total control. Welcome to the connected home that simply works.",zigbee-gateway-rj45-wired-hub,"zigbee gateway, smart hub, RJ45 gateway, home automation hub, Zigbee 3.0, mesh network, IoT controller, smart home bridge, wired gateway","zigbee gateway with ethernet port, wired zigbee 3.0 hub for smart home, RJ45 zigbee bridge 300m range, best zigbee gateway for home automation, zigbee mesh network hub wired, smart home controller with RJ45 connection, zigbee gateway supports OTA firmware update, linux zigbee hub 250kbps transmission, vacation mode security zigbee gateway, morning light rise automation hub, 19dBm zigbee gateway long range, plug play zigbee gateway ethernet",,,,,,,,,,,,,,,
Matter gateway,Smart Gateway,HZ-SG-MATGAT01,"Wireless parameters Chip: EFR32MG1B232 | Standard: IEEE 802.15.4 | Frequency band: 2.4～2.485GHz | Maximum output power: 19dBm | Dynamic output power: >35dB | Open line-of-sight transmission distance: >300m | Frequency error: ±15ppm | Theoretical transmission rate: 250kbps | Receiving sensitivity: Typical value - 102dBm, PER<10% | Total number of channels: 16 | Channel number: 11~26 | Network topology: Support star, tree, mesh network | Antenna: Default PCB onboard antenna | Hardware parameters Chip: RTL8196E | Main frequency: 400MHz | Chip architecture: MIPS | Operating system: Linux 3.10 | Flash: 128Mbit | DDR: 256Mbit | USB: 1 USB Host/Device, 1 USB PHY | UART: 1 Debug, 1 Data | GPIO: 16 | WAN: 1 10/100M Ethernet port (RJ45 interface) | Timer: 2 hardware timers, 1 watchdog | Indicator: 1 power indicator, 1 network indicator | Button: 1 reset button | Power parameters Adapter: 110V~240V AC, 5V/1A DC | Working voltage: 1.8V~3.3V | Environmental parameters Working temperature: -10℃-55℃ | Working humidity: 10%-90% RH (non-condensing) | Storage temperature: -20℃-60℃ | Storage humidity: 5%-90% RH (non-condensing) | Other parameters Protocol: Support Zigbee 3.0 protocol, Zigbee sub-devices can be added | Firmware upgrade: Support OTA","<h1>Seamless Smart Home Integration</h1>
<p>This gateway ensures all your smart devices work together effortlessly, no matter the brand, so you can control your entire home with one app and enjoy a truly connected lifestyle.</p>

<h1>Long-Range, Reliable Connectivity</h1>
<p>With an impressive transmission range of over 300 meters, your smart devices stay connected even in larger homes, eliminating dead zones and ensuring smooth operation.</p>

<h1>Energy-Efficient and Low-Maintenance</h1>
<p>The low-power design means your gateway runs efficiently, reducing energy consumption and maintenance needs, so you can enjoy smart home convenience without worrying about constant upkeep.</p>

<h1>Easy and Secure Firmware Updates</h1>
<p>Over-the-air (OTA) updates keep your gateway secure and up-to-date with the latest features, ensuring your smart home stays protected and functional without any hassle.</p>

<h1>Versatile Network Support</h1>
<p>Supports star, tree, and mesh network topologies, allowing you to expand your smart home network flexibly, so you can add more devices and enhance coverage as your needs grow.</p>

<h1>Robust and Durable Performance</h1>
<p>Built to withstand a wide range of temperatures and humidity levels, this gateway ensures reliable operation in any environment, giving you peace</p>","

## Automations
• Zigbee door sensor opens after 10 PM triggers mesh-network alert and activates security mode via OTA firmware
• Temperature drops below 5 °C: gateway relays Zigbee 3.0 command to switch on heater through channel 15 mesh
• WAN link lost for 5 minutes: gateway reboots via watchdog, toggles network LED and logs event to Linux 3.10","

## Connected Scenes
• Acts as central hub connecting smart lights, locks, thermostats through single unified Matter protocol network
• Enables video doorbell to trigger smart lights automatically when motion detected at entrance
• Allows smart speakers to control indoor cameras and outdoor cameras through unified Matter commands","Your smart home just got smarter. One hub connects everything.

• Seamlessly bridges Matter devices across all your smart home ecosystems.
• Future-proof your setup with the new universal smart home standard.
• Control lights, locks, and sensors from any mobile device instantly.
• Set automations that work even when internet goes offline.

Transform your house into a truly connected home today.

Works with your existing smart speakers, displays, and voice assistants. Control everything through your preferred mobile devices and tablets.",matter-zigbee-gateway-gs-mzhub,"matter gateway, zigbee hub, smart home hub, apple homekit, alexa compatible, google assistant, 128 devices, lan connection, usb-c power, multi-protocol","matter zigbee gateway for apple homekit, best smart home hub 128 devices support, usb-c powered matter bridge router, zigbee thread wifi multi protocol hub, alexa google assistant compatible gateway, lan connected smart home controller, affordable matter gateway bulk price, tuya app apple homekit dual support, compact 60mm smart hub for large homes, night security automation with door sensor, welcome home lighting automation setup",,,,,,,,,,,,,,,
Wall socket Gateway,Smart Gateway,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Shutter Motor (25 Zigbee tubular motor, DC motor with built-in lithium battery)","Curtain, Shutter and Garage Door Controllers",HZ-CS-BATSOL01,"Product Name: Multi-functional MATTER Wired Gateway | App Support: Tuya app and Apple Homekit | Pricing: ≤10pcs:$29.6 | ≤50pcs:$29.3 | ≤500pcs:$28.9 | Unknown: 35 | Model: Matter Zigbee Wired gateway | Model Number: GS-MHZUB | App: App | Feature: Can be acted as a Matter Gateway | Feature: Can be acted as a ZigBee Gateway | Compatibility: Works with Alexa, Google Home Assistant | Device Support: Can support up to 128 smart devices | Connection: Lan network connection | Description: Internet of Everything: It can be seamlessly linked with smart home devices on various platforms. Whether it is lamps or sockets, Matter gateway can interconnect with them to provide agreed control and management | Power supply: Type C, Power input: 5V1A | Working temperature: -10~55℃ | Wireless communication protocol: 2.4G wireless & Zigbee | Product dimension: 606015mm | Weight: 33g | Communication protocol: Zigbee, Thread","<h1>Control Every Shutter from One Hub</h1>
<p>Manage up to 128 motorized shutters, blinds, or garage doors through a single gateway, eliminating the need for multiple controllers throughout your smart home.</p>

<h1>Works with Your Favorite Voice Assistants</h1>
<p>Open or close your shutters hands-free using simple voice commands through Alexa or Google Home Assistant - no need to reach for your phone or wall switch.</p>

<h1>Future-Proof Matter Technology</h1>
<p>Your shutter motor investment is protected with built-in Matter compatibility, ensuring seamless integration with current and future smart home platforms without expensive upgrades.</p>

<h1>Reliable Wired Connection</h1>
<p>Unlike wireless-only systems, the LAN network connection ensures your shutters respond instantly every time, even when WiFi is congested or during internet outages.</p>

<h1>Tiny Hub, Hidden Installation</h1>
<p>At just 60x60x15mm, this gateway disappears behind furniture or mounts unnoticed, keeping your smart home setup clean and clutter-free without bulky hardware.</p>

<h1>All-Weather Operation</h1>
<p>Keep your shutters automated year-round with operating temperatures from -10°C to 55°C, ensuring reliable performance through freezing winters and scorching summers.</p>","

## Automations
• Morning sunrise triggers gradual shutter opening via Zigbee gateway connected to Tuya app
• Temperature reaches 28°C automatically closes shutters through Matter gateway integration
• Evening 8 PM schedule lowers all shutters simultaneously via Zigbee network control","

## Connected Scenes
• Automatically opens shutters when doorbell rings.
• Closes shutters when alarm system is armed.
• Adjusts shutters based on weather forecast.","Transform any window into a sanctuary of perfect light and privacy. Feel the day adjust to your rhythm with whisper-quiet precision.

• Control sunlight and privacy from anywhere without touching a cord.
• Built-in battery eliminates messy wires and costly electrical work.
• Zigbee mesh keeps every shade responding even when Wi-Fi hiccups.
• Sunrise-to-sunset scheduling wakes you gently and guards furniture from fading.

Smart Shutter Motor brings five-star comfort home, one effortless glide at a time.",zigbee-tubular-shutter-motor-25mm-battery,"Zigbee motor, tubular motor, smart shutter, battery motor, roller blind motor, 25mm motor, DC tubular motor, lithium battery motor, quiet shutter motor","25mm zigbee tubular motor with battery, quiet battery powered roller blind motor, retrofit smart shutter motor 38mm tube, zigbee dc motor built in lithium battery, morning routine automatic shutter opener, away mode security shutter automation, 1.2nm torque 30rpm tubular motor, wireless zigbee roller shade motor kit, smart home natural wake up sunlight motor, easy install 25mm diameter blind motor",,,,,,,,,,,,,,,
"Smart Shutter Motor (25 Zigbee tubular motor, DC motor with built-in lithium battery)","Curtain, Shutter and Garage Door Controllers",HZ-CS-BATSOL02,"Model: 25 ZIGBEE tubular motor | Motor Type: DC motor, built-in lithium battery | Diameter: 25 mm (Suitable for 38mm diameter tube) | Torque: 1.2 N | RPM: 30","<h1>Ultra-Compact Design</h1>
<p>The 25 mm diameter motor fits seamlessly into standard 38 mm tubes, maintaining your home's clean aesthetic without bulky external hardware or visible motor housings.</p>

<h1>Reliable Battery Power</h1>
<p>Built-in lithium battery eliminates the need for electrical wiring during installation, letting you motorize any shutter without costly electrician visits or wall modifications.</p>

<h1>Perfect for Standard-Sized Shutters</h1>
<p>With 1.2 N torque, this motor effortlessly handles typical home shutters and blinds, providing smooth automated operation for your daily comfort without overkill power.</p>

<h1>Quiet 30 RPM Operation</h1>
<p>Enjoy peaceful mornings and evenings with motor movement that's barely audible at 30 revolutions per minute, maintaining your home's tranquil atmosphere.</p>

<h1>Zigbee Smart Home Integration</h1>
<p>Connect directly to your existing Zigbee smart home system for reliable, low-power wireless control that works even when your WiFi is down.</p>

<h1>Professional-Grade Motor Technology</h1>
<p>DC motor design delivers consistent, energy-efficient performance with minimal maintenance, giving you years of trouble-free automated shutter operation.</p>","

## Automations
• Here are three practical automations for the Smart Shutter Motor (25 Zigbee tubular motor):
• Automated Day/Night Shutter Control
• Trigger:* Time of day (sunrise/sunset)","

## Connected Scenes
• Automatically closes shutters when doorbell rings for privacy
• Opens shutters when video doorbell detects a delivery person
• Syncs with thermostat to adjust shutters for energy efficiency","Transform your shutters into intelligent window guardians that respond to your daily rhythm. Open to sunrise, close for privacy, all without lifting a finger.

• Control every shutter from bed with whisper-quiet precision.
• Built-in battery eliminates messy wires and complex installations.
• Zigbee mesh network ensures reliable control throughout your home.
• Schedule automatic adjustments that match your lifestyle perfectly.

Your windows just got smarter than your phone.",zigbee-25mm-smart-shutter-motor-battery,"zigbee motor, smart shutter, tubular motor, roller blind motor, dc motor, battery motor, home automation, curtain controller","25mm zigbee tubular motor with battery, smart roller shutter motor for blinds, battery powered zigbee curtain motor, tuya zigbee smart blind controller, soft start stop shutter motor, 4 favorite positions roller motor, sunrise automation bedroom shutters, vacation security smart shutters, wireless dc motor built in lithium battery",,,,,,,,,,,,,,,
"35S-10N/17-Zigbee (Zigbee tubular shutter motor, 230V)","Curtain, Shutter and Garage Door Controllers",HZ-CS-35S10N01,35 tubular electronic limit motor (built-in module) Tuya ZIGBEE module (direct power supply) | Top and bottom limits plus 4 favorite stop positions | Bi-directional feedback | Soft start and stop | Stroke memory function | A reversal of the circuit's polarity will change the direction of the motor's force clockwise or counterclockwise | Jog and continuous rolling adjustment,"<h1>Seamless Smart Control</h1>
<p>Effortlessly manage your shutters with voice commands or your smartphone, integrating with your smart home system for ultimate convenience.</p>

<h1>Perfectly Positioned Every Time</h1>
<p>Set and save your favorite shade positions, ensuring your shutters always open or close to your preferred level with a single command.</p>

<h1>Silent and Smooth Operation</h1>
<p>Enjoy gentle, quiet starts and stops, eliminating jarring movements and ensuring a peaceful home environment.</p>

<h1>Smart Memory for Your Routine</h1>
<p>Your shutters remember their last position, so they automatically return to your preferred setting, keeping your home just the way you like it.</p>

<h1>Easy Installation Flexibility</h1>
<p>Install with confidence—reversing the motor’s polarity is simple, allowing you to adjust the direction of your shutters to fit your space perfectly.</p>

<h1>Precision Adjustment at Your Fingertips</h1>
<p>Fine-tune your shutters with jog or continuous rolling, giving you complete control over how much light and privacy you want at any moment.</p>","

## Automations
• Trigger*: Motion detected in a specific area (e.g., living room or bedroom).
• Use Case*: Ideal for maintaining privacy when someone walks by a window, especially in bedrooms or home offices.
• Scheduled Sunlight Control for Energy Efficiency","

## Connected Scenes
• Automates shutter control via smart speaker voice commands
• Syncs with doorbell for automatic window opening on arrival
• Integrates with security system for programmed shutters at night","Transform any window into an instant sanctuary of perfect light and privacy. This silent 230V tubular motor disappears inside your shutter tube, bringing cinema-quiet automation to everyday living.

• Whisper-quiet operation lets you adjust shutters without disturbing sleeping children.
• Zigbee mesh networking keeps commands responsive even at home's furthest corners.
• 230V direct power eliminates battery replacements for decades of worry-free service.
• Sunlight fades gradually as shutters glide to your exact preferred position every time.

Connect through smart speakers, voice assistants, smart displays, or mobile devices to command your shutters with a word or tap. Schedule sunrise welcomes and sunset privacy that happen automatically while you're still in bed.

Experience the luxury of perfectly orchestrated daylight that arrives on your schedule, not the sun's.",zigbee-tubular-shutter-motor-35mm-10nm-230v,"zigbee shutter motor, tubular motor, 230v shutter, smart blinds, 10Nm torque, 35mm motor, zigbee 3.0, IP44 motor, roller shutter, home automation","zigbee tubular shutter motor 230v, 35mm diameter 10Nm roller motor, IP44 waterproof smart shutter motor, zigbee 3.0 blinds automation, 230v 50Hz roller shutter control, 17rpm quiet shutter motor, morning rise smart home scene, away shield security automation, solar heat protection blinds, heavy aluminum slat motor, mesh network compatible shutter, 4min S2 duty cycle motor",,,,,,,,,,,,,,,
"25S-1.1N/17-Zigbee (Zigbee tubular shutter motor, 230V)","Curtain, Shutter and Garage Door Controllers",HZ-CS-25S101,Torque: 10Nm | Voltage: 230V 50Hz | Rated speed:17r/min | s4.5uF/450V | 146W | 0.64A | S2:4min | IP44 waterproof | Diameter:35mm | Wireless protocol :Zigbee3.0 IEEE 802.15.4,"<h1>Smooth, Quiet Operation</h1>
<p>Enjoy peaceful mornings and evenings with a motor that operates silently, ensuring minimal disturbance to your home's tranquility.</p>

<h1>Reliable Power for Heavy Shutters</h1>
<p>With a robust 10Nm torque, this motor handles even the heaviest shutters effortlessly, providing smooth and consistent movement every time.</p>

<h1>Effortless Wireless Control</h1>
<p>Seamlessly integrate with your smart home system via Zigbee 3.0, allowing you to control your shutters with a simple voice command or app tap—no complicated wiring needed.</p>

<h1>Durable and Weatherproof Design</h1>
<p>The IP44 waterproof rating ensures your motor stays protected from rain and dust, giving you long-lasting performance and peace of mind, no matter the weather.</p>

<h1>Energy-Efficient and Cost-Saving</h1>
<p>Low power consumption (0.64A) means your motor runs efficiently, keeping energy bills low while still delivering powerful performance.</p>

<h1>Fast and Responsive Control</h1>
<p>With a rated speed of 17 revolutions per minute, your shutters open and close quickly, so you can adjust them in seconds—perfect for sudden weather changes or quick privacy needs. [/s]</p>","

## Automations
• Automation 1: Schedule-Based Shutter Control for Energy Efficiency
• Trigger:* Time of day (e.g., 7:00 AM and 5:00 PM)
• Action:* The Zigbee motor automatically opens or closes the shutters based on the schedule.","

## Connected Scenes
• Automatically opens blinds when security camera detects motion
• Syncs with smart doorbell to adjust blinds during deliveries
• Closes shutters when video doorbell detects motion at night","Transform your windows into intelligent light filters. Command daylight with whisper-quiet precision.

• Quiet tubular motor glides shutters smoothly at your command.
• Zigbee mesh network connects reliably throughout your entire home.
• 230V power handles heavy shutters without performance drops.
• Schedule automatic positioning for privacy and energy savings.

Experience the perfect balance of privacy, light, and convenience every single day.",zigbee-tubular-shutter-motor-230v-25s-1-1n-17,"zigbee shutter motor, tubular motor, 230V shutter, smart shutter, curtain controller, garage door motor, 25mm motor, IP44 motor, zigbee 3.0, roller shutter","zigbee tubular shutter motor 230v, buy 25mm zigbee roller shutter motor, quiet smart shutter motor 1.1Nm, 230V zigbee curtain controller IP44, tubular motor for smart home automation, zigbee 3.0 roller shutter motor 17rpm, energy efficient shutter motor 0.64A, smart away-mode security shutter motor, silent sunrise welcome shutter automation, wireless zigbee shutter motor 25S-1.1N/17",,,,,,,,,,,,,,,
"1668-6 (3-in-1 universal smart curtain robot, available in Zigbee)","Curtain, Shutter and Garage Door Controllers",HZ-CS-CONACC01,Torque: 1.1Nm | Voltage: 230V 50Hz | Rated speed:17r/min | s4.5uF/450V | 146W | 0.64A | S2:4min | IP44 waterproof | Diameter:25mm | Wireless protocol :Zigbee3.0 IEEE 802.15.4,"<h1>Effortless, Quiet Operation</h1>
<p>With a gentle 17 rotations per minute, the motor moves your curtains smoothly and silently, ensuring a peaceful home environment without disrupting sleep or relaxation.</p>

<h1>Powerful Yet Energy-Efficient</h1>
<p>Delivers a strong 1.1Nm torque for reliable curtain movement while operating at just 146W, keeping energy costs low without sacrificing performance.</p>

<h1>Weatherproof Durability</h1>
<p>IP44-rated design protects against dust and splashes, making it ideal for humid bathrooms, kitchens, or outdoor spaces where reliability matters.</p>

<h1>Compact and Versatile Design</h1>
<p>Fits seamlessly into any decor with a slim 25mm diameter, adapting to various curtain styles without cluttering your space.</p>

<h1>Fast and Reliable Performance</h1>
<p>Completes a full curtain cycle in just 4 minutes, ensuring quick adjustments to light and privacy whenever you need them.</p>","

## Automations
• Morning schedule opens curtains at 7 AM via Zigbee signal to let natural light in automatically
• Evening routine closes curtains at sunset through Zigbee command for privacy and energy efficiency
• Temperature sensor triggers curtain closure via Zigbee when room exceeds 25°C to block sunlight","

## Connected Scenes
• Automatically opens curtains when sunrise detected by an outdoor sensor
• Closes curtains when security camera detects motion at night
• Syncs with smart thermostat to adjust based on sunlight exposure","Transform every window and door into intelligent architecture that responds to your life. The 1668-6 makes manual curtains, shutters, and garage doors feel instantly outdated.

• Control curtains, shutters, and garage doors from anywhere with one sleek device.
• Zigbee technology creates reliable mesh networks that won't slow your Wi-Fi.
• Set sunrise schedules that open curtains naturally, no alarm clock required.
• Motor handles heavy curtains and large garage doors with quiet confidence.

Upgrade to automated elegance that greets each morning and secures each night without lifting a finger.",3-in-1-zigbee-smart-curtain-robot,"smart curtain robot, zigbee curtain controller, tuya curtain motor, roman rod opener, automated blinds, wifi curtain switch, bluetooth shade driver, 4w curtain bot, 6-month battery, 10s meter speed","zigbee 3.0 smart curtain robot for roman rods, 3-in-1 wifi zigbee bluetooth curtain motor tuya, 6 month battery life quiet curtain opener, sunrise automation curtain closer temperature sensor zigbee, usb-c rechargeable smart curtain controller 4000mah, 10 seconds per meter curtain robot speed, universal roman rod track smart curtain device, tuya app remote control curtain automation kit, low power 180ua standby smart shade motor, wireless curtain opener 20m control distance, built-in lithium battery curtain robot no wiring, smart home morning rise curtain opens with alarm",,,,,,,,,,,,,,,
"Zigbee-DJ02 (Smart Curtain Kit with Zigbee motor, retractable rail, and remote)","Curtain, Shutter and Garage Door Controllers",HZ-CS-CONACC02,"Product name: WiFi/Zigbee/Bluetooth Tuya App remote control Curtain Robot | Product size: 1528175mm | Voltage: 10V | Power: 4W | Charging current: 5V/1A | Charging port: Type C | Standby power consumption: 180UA | Communication method: Bluetooth/wifi | Battery: built-in 4000mA lithium battery | Speed: 10 seconds/meter | Usage time: >6 months | Control distance: 20 meters | Application track: Roman rod track | Material: ABS+PC | Packaging: 1 piece/box, size: 21016872mm, 0.7kg/box | Carton: 20 pieces/carton, size: 43.53538.5cm, Carton gross weight: 15kg","<h1>Year-Round Battery Life</h1>
<p>Enjoy over 6 months of automatic curtain operation on a single charge, eliminating the hassle of frequent battery replacements or daily charging routines.</p>

<h1>Whisper-Quiet Operation</h1>
<p>Experience gentle 10-second-per-meter movement that opens and closes your curtains without disturbing sleep, work, or relaxation time.</p>

<h1>Universal Roman Rod Compatibility</h1>
<p>Transform your existing Roman rod curtains into smart curtains instantly, no expensive track replacements or professional installation required.</p>

<h1>20-Meter Remote Control Range</h1>
<p>Adjust curtains from anywhere in your home, whether you're in bed, on the sofa, or across the room, without needing to physically reach the window.</p>

<h1>Ultra-Low Standby Power</h1>
<p>With only 180 microamps of standby consumption, this curtain robot sips power so efficiently you'll forget it's even plugged in between charges.</p>

<h1>Type-C Quick Charging</h1>
<p>Recharge your curtain robot using the same convenient Type-C cable as your phone, tablet, and other devices, making power top-ups simple and cable-clutter free.</p>","

## Automations
• Automatically open curtains at sunrise for natural light
• Trigger*: Time of day (sunrise)
• Action*: Curtains open automatically","

## Connected Scenes
• Automatically closes curtains when motion detected at the doorbell
• Opens curtains when you arrive home using geofencing
• Syncs with smart lights to adjust brightness when curtains move","Transform any window into a scene of effortless elegance. Zigbee-DJ02 opens, closes, and pauses your curtains on command.

• Wake to gentle daylight as curtains glide open on schedule.
• Retractable rail fits windows 1.2–3 m without cutting or tools.
• Quiet motor moves heavy drapes at 20 cm/s without disturbing peace.
• Handheld remote works through walls from up to 30 m away.

Pair with voice assistants, smart displays, or mobile devices to ask for “movie-night darkness” or “morning sunshine” without leaving the sofa.

Let the next sunrise, sunset, and every moment in between unfold automatically.",zigbee-smart-curtain-kit-retractable-rail,"smart curtain, zigbee motor, retractable rail, quiet curtain opener, home automation, curtain controller, motorized track, 4.5m rail, remote control curtains, smart home","zigbee smart curtain kit with remote, ultra quiet motorized curtain track, retractable 2.45-4.5m curtain rail, smart home curtain automation system, silent 38db curtain opener motor, automatic curtain opener for bedroom, adjustable speed curtain controller, 50kg load capacity smart curtains, hotel card power compatible curtains, wide voltage 100-240v curtain motor",,,,,,,,,,,,,,,
Zigbee-DJ01 (Zigbee curtain motor),"Curtain, Shutter and Garage Door Controllers",HZ-CS-ZIGDJ001,"Smart curtain kit components: ①zigbee Smart curtain motor ②retractable rail（2.45-4.5M) ③Remote controller*1pcs | Features: 1. New ultra-quiet architecture design, truly silent operation | 2. Ultra-small size, large torque | 3. High-grade thickened piano paint process | 4. The second gear speed is adjustable | sample: $53 | 50~200 pcs: $52 | 200~1K pcs: $50 | Model: 38 Smart Curtain Kit (retractable track) | WIFI-DJ02 | 5. Fabric canteen automatic repair | 6. DC wide voltage, no fear of current fluctuations | 7. Support hotel plug-in card power/dry contact/485 control mode | Torque: 1.2Nm | Voltage: 100～240V | Weight: 50KG | Rated speed: 80-120 (rpm) | Opening/closing speed (cm/s)","<h1>Whisper-Quiet Operation</h1>
<p>Enjoy serene mornings and peaceful nights with a motor so quiet, you’ll barely notice it working. Perfect for light sleepers or home offices where silence is golden.</p>

<h1>Space-Saving Design</h1>
<p>Fits seamlessly into any window frame with its compact size, giving you more room to decorate and less clutter to worry about.</p>

<h1>Durable &amp; Stylish Finish</h1>
<p>The piano paint process resists scratches and fading, keeping your motor looking sleek and modern for years, even with daily use.</p>

<h1>Customizable Speed Control</h1>
<p>Adjust the opening/closing speed to match your daily routine—quick for a fast sunrise or slow for a gentle sunset.</p>

<h1>Self-Repairing Fabric</h1>
<p>The motor automatically corrects slight fabric misalignments, ensuring smooth, wrinkle-free operation every time.</p>

<h1>Stable Power for Reliable Use</h1>
<p>Works flawlessly even with voltage fluctuations, so you never have to worry about sudden power drops disrupting your routine.</p>","

## Automations
• Automatically activates when motion detected
• Sends notifications to your mobile device
• Integrates with existing smart home systems","

## Connected Scenes
• Opens curtains when doorbell rings for security
• Closes curtains at sunset for privacy
• Syncs with thermostat to adjust natural light","Open your curtains with a whisper. Let daylight greet you on your schedule.

• Wake gently to natural light rising with your alarm.
• Close every curtain instantly for instant privacy and security.
• Schedule scenes that adjust curtains while you're away.
• Save energy by blocking summer heat and trapping winter warmth.

Works with your existing Zigbee hub and responds to smart speakers, displays, and mobile devices.

Transform any room into a sanctuary that opens and closes with your life.",zigbee-curtain-motor-dj01-smart-home-automation,"zigbee curtain motor, smart curtain controller, automated blinds, wireless curtain opener, home automation device, zigbee hub compatible, electric curtain track, smart home integration, silent curtain motor, app controlled curtains","zigbee curtain motor with app control, smart curtain opener for alexa, automated bedroom curtains sunrise routine, zigbee hub compatible curtain controller, silent electric curtain track system, manual override smart curtain motor, 1.5nm torque curtain automation, electronic memory limit curtain motor, 12cm/s retracting speed curtain opener, resistance stop function curtain controller, smart home curtain automation zigbee, voice controlled curtain motor alexa google",,,,,,,,,,,,,,,
Curtain Kit (C-shape),"Curtain, Shutter and Garage Door Controllers",HZ-CS-CURKIT01,Easy to control Curtain via mobile APP/ scene switch panel and echo | Support manual sensing function | High quality motor configuration | Electronic Memory Limit Function | Resistance and Stop Function | Rated torque: 1.5Nm | Rated speed: 120/rpm | Curtain line retracting speed: 12cm/s,"<h1>Smart Control Anywhere</h1>
<p>Control your curtains with voice like Alexa, phone app, or a wall switch—perfect for moments when you're on the couch or away from home.</p>

<h1>Safe Around Children</h1>
<p>Manual sensing lets kids gently push the curtain to stop or move it, preventing accidents like traditional motors that continue moving against resistance.</p>

<h1>Long-Last Reliability</h1>
<p>High-quality motor quietly operates at 120 rotations per minute, giving you smooth everyday operation without frequent replacement hassles.</p>

<h1>Always Know Where Your Curtains Are</h1>
<p>Memory limit keeps track of where you set the curtain last, returning automatically every time you stop without needing manual adjustments.</p>

<h1>Automatic Safety Protection</h1>
<p>Resistance and stop function halts the curtain if it hits something, protecting pets and furniture without causing damage.</p>

<h1>Fast Morning Light</h1>
<p>Curtain moves at 12 cm per second, so you can fully open your window in seconds for waking up quickly without waiting for motors that work slowly.</p>","

## Automations
• Here are 3 practical automations:
• Set the curtains to automatically close at sunset and open at sunrise.
• Trigger: Time of day (sunset/sunrise)","

## Connected Scenes
• Automatically closes curtains when security camera detects motion
• Opens curtains at sunrise using smart light sensor data
• Syncs with smart thermostat to adjust room temperature as needed","Transform any C-shaped curtain track into an intelligent window treatment that moves on your command. Experience the luxury of automated curtains that glide open with sunrise and close for perfect privacy at night.

• Opens heavy curtains effortlessly without manual pulling or reaching.
• Creates perfect morning wake-ups with scheduled sunrise openings.
• Saves energy by closing during hot afternoons automatically.
• Provides privacy and security while you're away from home.

Enjoy elegant curtain automation that installs discreetly behind your existing C-track without visible hardware or complicated setup.",curtain-kit-c-shape-smart-track,"smart curtain, curtain motor, curtain track, zigbee curtain, wifi curtain, home automation, window treatment, smart home, motorized curtain, c-track","smart curtain kit c-shape, zigbee wifi curtain motor, 1.14 meter curtain track, sunrise automation curtain, movie night curtain close, c-shape track system, smart home curtain opener, motorized window treatment kit, quiet curtain motor 12mm/s, modular aluminum curtain rail, no-cut curtain installation, bedroom curtain automation",,,,,,,,,,,,,,,
